name,amenity,main_cuisine,lat,lon,has_outdoor_seating,has_wifi,is_wheelchair_accessible
,cafe,unknown,40.4787049,-3.7114814,True,False,False
Naveira do Mar,restaurant,unknown,40.4522994,-3.7076057,False,False,False
La parrilla del sur,restaurant,unknown,40.3716287,-3.6397873,False,False,False
Café Comercial,restaurant,unknown,40.428732,-3.7020018,False,False,False
Honest Greens,restaurant,unknown,40.4270276,-3.7016997,False,False,False
Mür Café,bar,unknown,40.4256477,-3.7122038,False,False,False
La Parrilla de Nino,restaurant,unknown,40.4257656,-3.7120898,True,False,False
Taj Mahal,restaurant,indian,40.42514,-3.7118533,True,False,False
La Pomarada,restaurant,regional,40.426008,-3.7115084,False,False,False
Sexto,restaurant,unknown,40.4252476,-3.6963836,False,False,False
Brasa y Leña,restaurant,unknown,40.4162327,-3.7088498,False,False,False
100 Montaditos,restaurant,sandwich,40.4136118,-3.7087304,False,False,False
La Quinta,restaurant,unknown,40.5026663,-3.739228,False,False,False
Peor Para El Sol,bar,unknown,40.4167458,-3.7101814,False,False,False
Cadillac Solitario,bar,unknown,40.4874732,-3.699712,False,False,False
El Viajero,restaurant,unknown,40.4116487,-3.7101786,False,False,False
Que trabaje Rita,restaurant,unknown,40.412068,-3.7105933,False,False,False
Tío Timón,restaurant,regional,40.4131593,-3.7117469,True,False,False
Taquería del Alamillo,restaurant,unknown,40.4137154,-3.7127335,False,False,False
Bar Barocco,bar,unknown,40.4130638,-3.7129344,False,False,False
La Casa de Mónico,restaurant,unknown,40.4653206,-3.7807061,False,False,False
Quiosco de la Reina,bar,unknown,40.4057707,-3.7051111,False,False,False
,cafe,unknown,40.4144776,-3.7173135,False,False,False
Salón Los 5 Pinos,restaurant,other,40.4491479,-3.5683505,False,False,False
Restaurante Aragón,restaurant,other,40.4491587,-3.5687618,False,False,False
Casa Mingo,restaurant,chicken,40.424971,-3.7252542,True,False,False
Restaurante A Casiña,restaurant,unknown,40.4157055,-3.7309329,False,False,False
Terraza El Parque Félix,restaurant,unknown,40.4078777,-3.752638,False,False,False
El Frisón,restaurant,unknown,40.4255533,-3.7335455,False,False,False
Casa Ginés,restaurant,unknown,40.485413,-3.6852544,False,False,False
Mesón Gallego,restaurant,unknown,40.4857882,-3.6926733,True,False,False
Queen Burger Gourmet,restaurant,burger,40.4855645,-3.6920333,True,False,False
tele-bocata,restaurant,unknown,40.4862924,-3.6924531,False,False,False
,restaurant,unknown,40.4843585,-3.6868649,False,False,False
,restaurant,unknown,40.4844368,-3.6870451,False,False,False
Casa Mouriño,restaurant,unknown,40.485544,-3.6895993,False,False,False
Tapería de Fuencarral,restaurant,unknown,40.4849065,-3.68482,False,False,False
Condemar,cafe,unknown,40.4463777,-3.7149013,False,False,False
Taberna la Tortuga,restaurant,unknown,40.4468248,-3.714308,False,False,False
Restaurante otavaleño,restaurant,equatorian,40.4868023,-3.6892489,False,False,False
Restaurante Fereva,restaurant,unknown,40.4854963,-3.6895029,True,False,False
Cafetería Filosofía,restaurant,unknown,40.4486523,-3.7297735,True,False,False
Amazonia Chic,restaurant,asian,40.4459111,-3.5866815,False,False,False
Diego,bar,unknown,40.4116383,-3.6979403,False,False,False
Fuente de la Fama,restaurant,unknown,40.4115676,-3.6978097,False,False,False
A Cañada,restaurant,unknown,40.4112109,-3.69567,False,False,False
Fever,bar,unknown,40.4124453,-3.6961583,False,False,False
Arrocería Gala,restaurant,unknown,40.412427,-3.6963071,False,False,False
El Fogón Verde,restaurant,spanish,40.4122937,-3.6939658,False,False,False
La Hidria,bar,unknown,40.4128038,-3.695685,False,False,False
La Esquina,bar,unknown,40.4129838,-3.6956873,False,False,False
Moratin 40,restaurant,unknown,40.4125537,-3.6951865,False,False,False
El Diario,bar,unknown,40.413178,-3.6957012,False,False,False
La Fábrica,bar,unknown,40.4136254,-3.6956999,False,False,False
Los Gatos,bar,unknown,40.4135119,-3.6957073,False,False,False
La Anchoíta,bar,unknown,40.4133633,-3.695701,False,False,False
El Rábano,restaurant,unknown,40.4134319,-3.6957085,False,False,False
Terra Mundi,restaurant,regional,40.4136237,-3.6960696,False,False,False
Taberna de la Daniela,bar,unknown,40.4141167,-3.6957942,False,False,False
Edelweiss,restaurant,unknown,40.4169233,-3.6966322,False,False,True
El Secreto de Castilla,restaurant,unknown,40.4171806,-3.6965924,False,False,False
Sagardi,restaurant,unknown,40.4173325,-3.6966034,False,False,False
Vegetariano,restaurant,unknown,40.416822,-3.6971908,False,False,False
,cafe,unknown,40.4168084,-3.6973366,False,False,False
,cafe,unknown,40.4182418,-3.6961976,False,False,False
Granier,cafe,coffee_shop,40.4046885,-3.7019897,False,False,False
Uskar,restaurant,regional,40.4040925,-3.7009208,False,False,False
A Cañada,restaurant,unknown,40.4047549,-3.7014847,False,False,False
El encuentro,cafe,unknown,40.4037836,-3.7001622,False,False,False
El Valle,restaurant,spanish,40.4037373,-3.6995978,True,False,False
Tia Julia,restaurant,unknown,40.4049362,-3.6986721,False,False,False
Ramen Kagura,restaurant,ramen,40.4051914,-3.6973199,False,False,False
Mama Teresa Burger,restaurant,burger,40.4038286,-3.6964406,False,False,False
Atocha Tandoori,restaurant,indian,40.4050712,-3.6952969,False,False,False
Cafetería Grande,cafe,unknown,40.5457582,-3.6989588,False,False,False
Flat Tire Lounge,bar,unknown,41.8743122,-93.8146205,False,False,False
Ssambar,bar,unknown,40.4154876,-3.7111315,False,False,False
,cafe,unknown,40.4151444,-3.7118077,False,False,False
Arcade,restaurant,regional,40.4152606,-3.7115508,False,False,False
Cruz Blanca,restaurant,unknown,40.4156653,-3.7102121,False,False,False
Jiao Jiao,restaurant,chinese,40.4155515,-3.7099687,False,False,False
Taste Gallery,restaurant,unknown,40.4153729,-3.7094547,False,False,False
Taberneros,restaurant,unknown,40.4163669,-3.7104348,False,False,False
Arbonaida,restaurant,unknown,40.4164826,-3.7106873,False,False,False
Velicia,bar,unknown,40.416073,-3.7085285,False,False,False
Chocolatería San Ginés,cafe,coffee_shop,40.4167707,-3.706803,False,False,False
Grazie Mille,restaurant,unknown,40.4161161,-3.7075072,False,False,False
Terraza Playa,cafe,spanish,40.3965572,-3.7084251,False,False,True
Entre suspiro y suspiro,restaurant,mexican,40.4186369,-3.7090308,False,False,False
