Año;Tipo territorio;Código territorio;Territorio;Valor;Estado dato
2001;Comunidad de Madrid;;Comunidad de Madrid;76.51;
2001;Municipios;0014;Acebeda (La);94.89;
2001;Municipios;0029;Ajalvir;57.37;
2001;Municipios;0035;Alameda del Valle;85.15;
2001;Municipios;0040;Álamo (El);95.43;
2001;Municipios;0053;Alcalá de Henares;65.86;
2001;Municipios;0066;Alcobendas;75.08;
2001;Municipios;0072;Alcorcón;49.83;
2001;Municipios;0088;Aldea del Fresno;88.85;
2001;Municipios;0091;Algete;85.45;
2001;Municipios;0105;Alpedrete;94.40;
2001;Municipios;0112;Ambite;96.41;
2001;Municipios;0127;Anchuelo;90.00;
2001;Municipios;0133;Aranjuez;72.96;
2001;Municipios;0148;Arganda del Rey;64.07;
2001;Municipios;0151;Arroyomolinos;95.91;
2001;Municipios;0164;Atazar (El);97.65;
2001;Municipios;0170;Batres;98.25;
2001;Municipios;0186;Becerril de la Sierra;97.57;
2001;Municipios;0199;Belmonte de Tajo;89.64;
2001;Municipios;0210;Berrueco (El);96.92;
2001;Municipios;0203;Berzosa del Lozoya;94.81;
2001;Municipios;0225;Boadilla del Monte;90.58;
2001;Municipios;0231;Boalo (El);95.83;
2001;Municipios;0246;Braojos;95.95;
2001;Municipios;0259;Brea de Tajo;90.32;
2001;Municipios;0262;Brunete;90.95;
2001;Municipios;0278;Buitrago del Lozoya;80.56;
2001;Municipios;0284;Bustarviejo;97.18;
2001;Municipios;0297;Cabanillas de la Sierra;96.26;
2001;Municipios;0301;Cabrera (La);97.19;
2001;Municipios;0318;Cadalso de los Vidrios;92.24;
2001;Municipios;0323;Camarma de Esteruelas;87.21;
2001;Municipios;0339;Campo Real;76.64;
2001;Municipios;0344;Canencia;96.99;
2001;Municipios;0357;Carabaña;96.67;
2001;Municipios;0360;Casarrubuelos;86.52;
2001;Municipios;0376;Cenicientos;94.67;
2001;Municipios;0382;Cercedilla;94.29;
2001;Municipios;0395;Cervera de Buitrago;97.70;
2001;Municipios;0513;Chapinería;93.96;
2001;Municipios;0528;Chinchón;85.05;
2001;Municipios;0409;Ciempozuelos;83.98;
2001;Municipios;0416;Cobeña;90.69;
2001;Municipios;0468;Collado Mediano;94.88;
2001;Municipios;0474;Collado Villalba;79.29;
2001;Municipios;0437;Colmenar de Oreja;91.88;
2001;Municipios;0421;Colmenar del Arroyo;93.49;
2001;Municipios;0455;Colmenar Viejo;85.12;
2001;Municipios;0442;Colmenarejo;95.55;
2001;Municipios;0480;Corpa;71.86;
2001;Municipios;0493;Coslada;61.76;
2001;Municipios;0506;Cubas de la Sagra;93.00;
2001;Municipios;0534;Daganzo de Arriba;82.57;
2001;Municipios;0549;Escorial (El);93.45;
2001;Municipios;0552;Estremera;92.27;
2001;Municipios;0565;Fresnedillas de la Oliva;86.99;
2001;Municipios;0571;Fresno de Torote;96.42;
2001;Municipios;0587;Fuenlabrada;44.71;
2001;Municipios;0590;Fuente el Saz de Jarama;85.90;
2001;Municipios;0604;Fuentidueña de Tajo;95.51;
2001;Municipios;0611;Galapagar;95.30;
2001;Municipios;0626;Garganta de los Montes;96.16;
2001;Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;97.96;
2001;Municipios;0647;Gascones;95.50;
2001;Municipios;0650;Getafe;79.60;
2001;Municipios;0663;Griñón;90.16;
2001;Municipios;0679;Guadalix de la Sierra;95.23;
2001;Municipios;0685;Guadarrama;90.88;
2001;Municipios;0698;Hiruela (La);94.55;
2001;Municipios;0702;Horcajo de la Sierra-Aoslos;96.62;
2001;Municipios;0719;Horcajuelo de la Sierra;93.53;
2001;Municipios;0724;Hoyo de Manzanares;94.64;
2001;Municipios;0730;Humanes de Madrid;42.12;
2001;Municipios;0745;Leganés;50.42;
2001;Municipios;0758;Loeches;79.15;
2001;Municipios;0761;Lozoya;93.95;
2001;Municipios;9015;Lozoyuela-Navas-Sieteiglesias;100.00;
2001;Municipios;0783;Madarcos;88.61;
2001;Municipios;0796;Madrid;57.76;
2001;Municipios;0800;Majadahonda;84.17;
2001;Municipios;0822;Manzanares el Real;94.78;
2001;Municipios;0838;Meco;90.36;
2001;Municipios;0843;Mejorada del Campo;62.14;
2001;Municipios;0856;Miraflores de la Sierra;97.42;
2001;Municipios;0869;Molar (El);87.47;
2001;Municipios;0875;Molinos (Los);93.63;
2001;Municipios;0881;Montejo de la Sierra;94.61;
2001;Municipios;0894;Moraleja de Enmedio;69.33;
2001;Municipios;0908;Moralzarzal;94.79;
2001;Municipios;0915;Morata de Tajuña;90.17;
2001;Municipios;0920;Móstoles;62.32;
2001;Municipios;0936;Navacerrada;86.03;
2001;Municipios;0941;Navalafuente;97.58;
2001;Municipios;0954;Navalagamella;94.43;
2001;Municipios;0967;Navalcarnero;84.20;
2001;Municipios;0973;Navarredonda y San Mamés;94.74;
2001;Municipios;0992;Navas del Rey;95.67;
2001;Municipios;1006;Nuevo Baztán;98.69;
2001;Municipios;1013;Olmeda de las Fuentes;89.18;
2001;Municipios;1028;Orusco de Tajuña;97.01;
2001;Municipios;1049;Paracuellos de Jarama;75.39;
2001;Municipios;1065;Parla;70.43;
2001;Municipios;1071;Patones;93.63;
2001;Municipios;1087;Pedrezuela;93.68;
2001;Municipios;1090;Pelayos de la Presa;93.97;
2001;Municipios;1104;Perales de Tajuña;92.04;
2001;Municipios;1111;Pezuela de las Torres;97.42;
2001;Municipios;1126;Pinilla del Valle;79.76;
2001;Municipios;1132;Pinto;57.23;
2001;Municipios;1147;Piñuécar-Gandullas;91.61;
2001;Municipios;1150;Pozuelo de Alarcón;91.12;
2001;Municipios;1163;Pozuelo del Rey;91.40;
2001;Municipios;1179;Prádena del Rincón;98.20;
2001;Municipios;1185;Puebla de la Sierra;81.91;
2001;Municipios;9020;Puentes Viejas;95.04;
2001;Municipios;1198;Quijorna;96.39;
2001;Municipios;1202;Rascafría;90.06;
2001;Municipios;1219;Redueña;97.17;
2001;Municipios;1224;Ribatejada;94.69;
2001;Municipios;1230;Rivas-Vaciamadrid;93.19;
2001;Municipios;1245;Robledillo de la Jara;96.51;
2001;Municipios;1258;Robledo de Chavela;96.59;
2001;Municipios;1261;Robregordo;99.65;
2001;Municipios;1277;Rozas de Madrid (Las);92.09;
2001;Municipios;1283;Rozas de Puerto Real;92.73;
2001;Municipios;1296;San Agustín del Guadalix;80.94;
2001;Municipios;1300;San Fernando de Henares;66.81;
2001;Municipios;1317;San Lorenzo de El Escorial;86.54;
2001;Municipios;1322;San Martín de la Vega;82.95;
2001;Municipios;1338;San Martín de Valdeiglesias;84.17;
2001;Municipios;1343;San Sebastián de los Reyes;76.92;
2001;Municipios;1356;Santa María de la Alameda;95.61;
2001;Municipios;1369;Santorcaz;84.30;
2001;Municipios;1375;Santos de la Humosa (Los);94.46;
2001;Municipios;1381;Serna del Monte (La);92.81;
2001;Municipios;1408;Serranillos del Valle;92.86;
2001;Municipios;1415;Sevilla la Nueva;92.76;
2001;Municipios;1436;Somosierra;83.21;
2001;Municipios;1441;Soto del Real;95.83;
2001;Municipios;1454;Talamanca de Jarama;87.79;
2001;Municipios;1467;Tielmes;84.86;
2001;Municipios;1473;Titulcia;86.22;
2001;Municipios;1489;Torrejón de Ardoz;53.58;
2001;Municipios;1492;Torrejón de la Calzada;77.47;
2001;Municipios;1505;Torrejón de Velasco;87.55;
2001;Municipios;1512;Torrelaguna;78.47;
2001;Municipios;1527;Torrelodones;94.78;
2001;Municipios;1533;Torremocha de Jarama;93.22;
2001;Municipios;1548;Torres de la Alameda;83.86;
2001;Municipios;9036;Tres Cantos;83.38;
2001;Municipios;1551;Valdaracete;86.08;
